aX,aY,aZ,gX,gY,gZ
-0.544,0.346,0.589,-11.963,-38.818,62.256
-0.532,0.347,0.588,-24.841,-45.593,77.515
-0.547,0.338,0.537,-37.537,-48.889,93.567
-0.581,0.278,0.496,-47.852,-50.049,108.521
-0.618,0.206,0.457,-53.650,-49.805,118.774
-0.620,0.155,0.455,-53.406,-46.814,121.765
-0.588,0.100,0.511,-47.424,-41.199,119.202
-0.561,0.067,0.579,-39.551,-34.668,112.976
-0.526,0.052,0.612,-32.227,-25.391,106.201
-0.474,0.025,0.672,-25.757,-16.907,100.586
-0.415,0.010,0.739,-21.545,-10.559,97.412
-0.397,0.008,0.767,-20.142,-5.737,98.083
-0.381,0.017,0.790,-19.958,-3.113,100.830
-0.359,0.021,0.836,-19.897,-1.953,104.126
-0.350,0.009,0.856,-20.020,0.366,107.056
-0.331,-0.000,0.890,-17.456,3.357,108.521
-0.291,-0.035,0.945,-13.794,5.798,108.521
-0.246,-0.073,0.970,-12.146,8.850,108.398
-0.211,-0.094,0.969,-12.390,12.390,107.727
-0.179,-0.140,0.979,-11.108,16.174,105.530
-0.143,-0.193,0.997,-8.240,19.104,101.929
-0.111,-0.203,1.016,-4.272,20.935,98.145
-0.074,-0.198,1.040,-0.427,21.790,95.215
-0.029,-0.206,1.076,1.099,21.423,93.018
0.011,-0.203,1.119,-0.610,18.616,91.187
0.057,-0.218,1.145,-4.272,14.038,91.187
0.078,-0.251,1.120,-11.108,6.897,93.079
0.052,-0.249,1.055,-22.217,-2.258,95.337
0.014,-0.241,0.983,-33.875,-10.498,96.191
-0.027,-0.214,0.902,-44.128,-15.869,95.825
-0.063,-0.183,0.823,-51.392,-16.357,94.177
-0.078,-0.129,0.786,-53.650,-13.794,90.271
-0.056,-0.087,0.797,-50.476,-9.644,85.083
-0.011,-0.053,0.851,-44.617,-4.517,79.468
0.026,-0.027,0.906,-39.856,0.427,74.402
0.072,-0.029,0.973,-36.011,4.333,69.641
0.120,-0.056,1.030,-33.325,5.188,64.880
0.144,-0.086,1.047,-32.593,3.418,60.730
0.151,-0.104,1.020,-34.302,1.099,56.946
0.137,-0.104,0.999,-36.804,-1.221,52.551
0.139,-0.098,0.984,-37.598,-4.150,47.424
0.130,-0.106,0.967,-38.025,-9.216,42.297
0.097,-0.086,0.912,-39.673,-13.062,37.415
0.045,-0.031,0.828,-40.222,-13.550,33.142
0.023,0.005,0.780,-39.307,-11.841,29.968
-0.009,0.009,0.769,-38.696,-10.498,27.527
-0.019,0.042,0.771,-38.818,-6.836,24.231
0.002,0.086,0.796,-36.621,-0.549,19.470
0.024,0.112,0.858,-31.311,2.380,15.320
0.076,0.116,0.959,-25.513,2.625,12.268
0.109,0.115,1.046,-21.973,2.075,9.583
0.150,0.630,2.334,108.093,95.642,-53.528
0.405,0.328,2.254,134.460,75.745,-38.025
0.480,0.083,1.748,104.370,38.452,-8.057
0.472,-0.166,1.268,44.189,15.686,11.658
0.499,-0.298,1.000,-7.751,2.808,18.677
0.470,-0.308,0.931,-40.100,-9.033,16.968
0.496,-0.267,0.967,-49.988,-19.409,9.583
0.565,-0.213,1.100,-45.105,-26.978,0.183
0.643,-0.136,1.234,-38.269,-30.457,-8.911
0.695,-0.030,1.380,-27.710,-29.724,-18.005
0.741,-0.011,1.530,-11.047,-26.489,-26.855
0.813,-0.041,1.719,6.592,-19.775,-35.278
0.890,-0.089,1.954,19.226,-14.954,-43.152
0.961,-0.103,2.221,25.269,-14.587,-49.561
1.012,-0.058,2.507,27.771,-14.526,-57.556
1.035,-0.028,2.734,32.349,-18.738,-66.772
