aX,aY,aZ,gX,gY,gZ
0.291,0.667,-0.616,-196.655,-84.473,-58.044
0.271,0.594,-0.513,-226.318,-108.826,-70.740
0.181,0.558,-0.320,-253.723,-129.639,-85.449
0.128,0.466,-0.037,-275.574,-139.282,-102.478
0.063,0.422,0.271,-292.175,-144.287,-119.324
-0.069,0.416,0.725,-303.406,-149.353,-133.240
-0.238,0.358,1.262,-307.861,-152.527,-143.860
-0.427,0.353,1.723,-305.481,-153.564,-148.499
-0.606,0.381,2.150,-292.847,-151.733,-148.865
-0.769,0.416,2.557,-269.653,-144.836,-147.095
-0.922,0.454,2.937,-243.408,-133.118,-143.799
-1.080,0.454,3.204,-217.651,-119.263,-140.625
-1.230,0.396,3.364,-191.711,-104.126,-136.108
-1.316,0.312,3.449,-166.931,-87.891,-126.709
-1.337,0.217,3.448,-141.663,-72.937,-110.657
-1.278,0.145,3.405,-116.760,-59.875,-88.562
-1.231,0.041,3.330,-91.431,-52.673,-63.354
-0.979,-0.018,3.277,-67.383,-48.279,-41.870
-0.792,-0.128,3.180,-45.654,-53.589,-25.024
-0.666,-0.180,3.044,-24.475,-69.641,-14.648
-0.483,-0.211,2.892,-3.784,-82.581,-12.939
-0.304,-0.217,2.682,14.221,-88.318,-12.390
-0.181,-0.196,2.442,28.931,-83.679,-6.592
-0.052,-0.177,2.214,41.260,-61.951,2.808
0.054,-0.172,2.045,51.025,-30.701,12.024
0.112,-0.160,1.942,61.096,-5.493,15.320
0.130,-0.138,1.865,71.594,8.850,12.024
0.133,-0.110,1.790,81.238,13.794,5.981
0.122,-0.062,1.705,90.454,12.878,0.977
0.102,-0.011,1.620,99.243,10.742,-0.671
0.097,0.031,1.531,106.140,10.193,0.671
0.096,0.082,1.440,110.229,11.353,3.662
0.109,0.109,1.374,111.694,13.306,7.202
0.093,0.106,1.328,110.168,14.709,8.728
0.073,0.105,1.285,106.873,14.893,9.399
0.058,0.112,1.244,105.347,13.306,10.681
0.059,0.112,1.203,105.713,11.108,13.000
0.072,0.106,1.161,106.873,10.254,15.442
0.078,0.089,1.127,107.666,11.475,16.724
0.093,0.069,1.091,107.422,13.672,18.127
0.101,0.028,1.057,106.628,16.357,18.738
0.107,-0.003,1.021,105.774,18.921,19.409
0.104,-0.027,0.991,105.896,21.179,19.714
0.130,-0.045,0.933,105.835,23.926,20.142
0.115,-0.079,0.927,105.164,26.978,21.729
0.125,-0.094,0.860,101.563,30.090,21.790
0.151,-0.144,0.823,98.633,31.311,19.775
0.153,-0.173,0.825,97.534,31.250,19.409
0.141,-0.191,0.809,94.727,29.175,19.836
0.127,-0.209,0.791,90.698,27.466,19.714
0.121,-0.238,0.784,86.792,26.550,18.860
0.123,-0.259,0.778,83.008,24.536,17.700
0.119,-0.256,0.753,79.590,21.729,16.785
0.118,-0.273,0.738,76.904,19.836,15.930
0.158,-0.277,0.755,73.730,19.653,14.099
0.155,-0.290,0.726,68.542,17.029,12.085
0.150,-0.291,0.705,63.904,15.259,10.498
0.182,-0.273,0.693,60.486,18.127,10.559
0.130,-0.286,0.661,56.824,19.348,13.977
0.152,-0.259,0.613,52.246,25.269,15.076
0.766,0.293,1.744,-106.934,-62.073,191.650
0.912,0.325,1.853,-102.112,-50.659,182.495
1.063,0.369,1.980,-92.407,-39.917,171.265
1.194,0.431,2.092,-80.872,-27.710,159.424
1.323,0.473,2.267,-69.336,-14.343,149.414
1.511,0.621,2.303,-55.542,-1.160,140.625
1.568,0.513,2.819,-29.114,1.831,130.920
1.715,0.596,2.941,-22.766,18.372,126.221
1.829,0.572,3.110,-23.071,39.551,125.244
1.944,0.512,3.233,-19.470,61.218,120.911
1.996,0.365,3.380,-7.385,77.087,111.206
2.020,0.245,3.414,10.864,83.130,93.079
1.983,0.181,3.284,35.034,78.857,67.505
1.887,0.189,3.061,64.758,67.505,39.307
1.775,0.224,2.814,91.980,61.096,15.198
1.651,0.226,2.582,111.511,63.293,-2.747
1.506,0.212,2.367,125.610,68.848,-16.785
1.348,0.193,2.177,137.085,75.317,-27.893
1.195,0.182,1.991,147.095,79.895,-36.926
1.044,0.192,1.795,156.250,79.834,-44.983
0.901,0.221,1.585,165.039,74.768,-54.565
0.775,0.294,1.358,171.204,68.909,-63.477
0.666,0.346,1.113,174.988,66.345,-69.397
0.604,0.419,0.860,177.307,68.298,-68.848
0.532,0.457,0.647,178.284,72.571,-62.378
0.446,0.468,0.493,176.758,76.782,-54.932
0.365,0.475,0.399,173.401,79.285,-51.208
0.264,0.514,0.308,168.030,79.163,-53.345
0.203,0.564,0.228,160.034,78.857,-58.777
0.127,0.641,0.113,149.780,77.026,-64.148
0.095,0.701,0.014,137.756,79.346,-65.674
0.061,0.754,-0.079,125.183,81.909,-63.171
0.017,0.838,-0.195,112.427,85.571,-57.495
0.036,0.847,-0.205,100.647,95.154,-49.805
0.026,0.860,-0.196,89.111,96.619,-44.373
0.025,0.870,-0.202,76.965,93.445,-40.100
0.043,0.887,-0.214,66.223,87.769,-35.828
0.070,0.907,-0.244,57.739,80.078,-30.151
0.107,0.905,-0.285,50.415,72.205,-24.109
0.131,0.921,-0.375,44.006,65.430,-20.630
0.267,0.976,-0.419,38.025,62.805,-19.165
0.305,0.998,-0.485,33.691,54.016,-17.883
0.307,1.036,-0.542,29.053,43.091,-18.127
0.290,1.080,-0.605,24.109,35.034,-19.836
0.257,1.118,-0.656,19.104,29.785,-23.437
0.206,1.142,-0.709,13.062,27.039,-26.001
0.173,1.150,-0.754,5.432,27.039,-25.452
0.147,1.111,-0.780,-2.930,27.039,-22.034
0.128,1.073,-0.808,-12.939,22.217,-18.005
0.124,1.029,-0.828,-26.367,12.390,-15.686
0.151,0.975,-0.848,-44.556,-1.038,-15.137
0.166,0.879,-0.859,-67.322,-19.104,-15.991
0.189,0.794,-0.884,-93.628,-41.809,-16.296
0.207,0.708,-0.901,-123.657,-67.505,-18.311
0.210,0.618,-0.899,-156.982,-93.201,-24.231
0.193,0.542,-0.898,-193.970,-117.554,-32.288
0.169,0.497,-0.846,-231.262,-140.015,-40.955
0.137,0.449,-0.750,-266.785,-159.424,-51.331
0.130,0.406,-0.561,-302.246,-173.767,-63.843
0.090,0.428,-0.324,-337.891,-187.134,-77.515
0.059,0.492,0.020,-371.826,-192.261,-89.294
